Fecha,TCR1
5/5/2008,7.47164,7.47164
6/5/2008,7.46166,7.46166
7/5/2008,7.45431,7.45431
8/5/2008,7.43843,7.43843
9/5/2008,7.42913,7.42913
10/5/2008,7.42913,7.42913
11/5/2008,7.42913,7.42913
12/5/2008,7.42452,7.42452
13/5/2008,7.42940,7.42940
14/5/2008,7.44217,7.44217
15/5/2008,7.45136,7.45136
16/5/2008,7.44912,7.44912
17/5/2008,7.44912,7.44912
18/5/2008,7.44912,7.44912
19/5/2008,7.43746,7.43746
20/5/2008,7.43592,7.43592
21/5/2008,7.42517,7.42517
22/5/2008,7.42915,7.42915
23/5/2008,7.42688,7.42688
24/5/2008,7.42688,7.42688
25/5/2008,7.42688,7.42688
26/5/2008,7.43092,7.43092
27/5/2008,7.42960,7.42960
28/5/2008,7.43183,7.43183
29/5/2008,7.43080,7.43080
30/5/2008,7.43354,7.43354
31/5/2008,7.43354,7.43354
1/6/2008,7.43354,7.43354
2/6/2008,7.44008,7.44008
3/6/2008,7.43991,7.43991
4/6/2008,7.44402,7.44402
5/6/2008,7.45618,7.45618
6/6/2008,7.47899,7.47899
7/6/2008,7.47899,7.47899
8/6/2008,7.47899,7.47899
9/6/2008,7.50824,7.50824
10/6/2008,7.49175,7.49175
11/6/2008,7.47757,7.47757
12/6/2008,7.47041,7.47041
13/6/2008,7.46795,7.46795
14/6/2008,7.46795,7.46795
15/6/2008,7.46795,7.46795
16/6/2008,7.46836,7.46836
17/6/2008,7.47012,7.47012
18/6/2008,7.47355,7.47355
19/6/2008,7.49130,7.49130
20/6/2008,7.51453,7.51453
21/6/2008,7.51453,7.51453
22/6/2008,7.51453,7.51453
23/6/2008,7.53420,7.53420
24/6/2008,7.54028,7.54028
25/6/2008,7.54301,7.54301
26/6/2008,7.54971,7.54971
27/6/2008,7.54797,7.54797
28/6/2008,7.54797,7.54797
29/6/2008,7.54797,7.54797
30/6/2008,7.54797,7.54797
1/7/2008,7.54797,7.54797
2/7/2008,7.53609,7.53609
3/7/2008,7.52516,7.52516
4/7/2008,7.50604,7.50604
5/7/2008,7.50604,7.50604
6/7/2008,7.50604,7.50604
7/7/2008,7.49211,7.49211
8/7/2008,7.47001,7.47001
9/7/2008,7.45334,7.45334
10/7/2008,7.44297,7.44297
11/7/2008,7.43846,7.43846
12/7/2008,7.43846,7.43846
13/7/2008,7.43846,7.43846
14/7/2008,7.42753,7.42753
15/7/2008,7.40702,7.40702
16/7/2008,7.38312,7.38312
17/7/2008,7.37815,7.37815
18/7/2008,7.39427,7.39427
19/7/2008,7.39427,7.39427
20/7/2008,7.39427,7.39427
21/7/2008,7.42856,7.42856
22/7/2008,7.43140,7.43140
23/7/2008,7.44252,7.44252
24/7/2008,7.47015,7.47015
25/7/2008,7.47821,7.47821
26/7/2008,7.47821,7.47821
27/7/2008,7.47821,7.47821
28/7/2008,7.46006,7.46006
29/7/2008,7.44922,7.44922
30/7/2008,7.43647,7.43647
31/7/2008,7.43039,7.43039
1/8/2008,7.43188,7.43188
2/8/2008,7.43188,7.43188
3/8/2008,7.43188,7.43188
4/8/2008,7.41697,7.41697
5/8/2008,7.40632,7.40632
6/8/2008,7.39572,7.39572
7/8/2008,7.39024,7.39024
8/8/2008,7.39054,7.39054
9/8/2008,7.39054,7.39054
10/8/2008,7.39054,7.39054
11/8/2008,7.39632,7.39632
12/8/2008,7.40316,7.40316
13/8/2008,7.41064,7.41064
14/8/2008,7.40845,7.40845
15/8/2008,7.40845,7.40845
16/8/2008,7.40845,7.40845
17/8/2008,7.40845,7.40845
18/8/2008,7.39715,7.39715
19/8/2008,7.39159,7.39159
20/8/2008,7.39844,7.39844
21/8/2008,7.40705,7.40705
22/8/2008,7.41592,7.41592
23/8/2008,7.41592,7.41592
24/8/2008,7.41592,7.41592
25/8/2008,7.41603,7.41603
26/8/2008,7.42354,7.42354
27/8/2008,7.43866,7.43866
28/8/2008,7.43993,7.43993
29/8/2008,7.43996,7.43996
30/8/2008,7.43996,7.43996
31/8/2008,7.43996,7.43996
1/9/2008,7.44077,7.44077
2/9/2008,7.44273,7.44273
3/9/2008,7.45944,7.45944
4/9/2008,7.49171,7.49171
5/9/2008,7.53142,7.53142
6/9/2008,7.53142,7.53142
7/9/2008,7.53142,7.53142
8/9/2008,7.51198,7.51198
9/9/2008,7.50936,7.50936
10/9/2008,7.51659,7.51659
11/9/2008,7.51050,7.51050
12/9/2008,7.49378,7.49378
13/9/2008,7.49378,7.49378
14/9/2008,7.49378,7.49378
15/9/2008,7.49378,7.49378
16/9/2008,7.46723,7.46723
17/9/2008,7.45105,7.45105
18/9/2008,7.43977,7.43977
19/9/2008,7.42726,7.42726
20/9/2008,7.42726,7.42726
21/9/2008,7.42726,7.42726
22/9/2008,7.41915,7.41915
23/9/2008,7.41285,7.41285
24/9/2008,7.41626,7.41626
25/9/2008,7.42553,7.42553
26/9/2008,7.45257,7.45257
27/9/2008,7.45257,7.45257
28/9/2008,7.45257,7.45257
29/9/2008,7.46823,7.46823
30/9/2008,7.47181,7.47181
1/10/2008,7.49657,7.49657
2/10/2008,7.50487,7.50487
3/10/2008,7.53129,7.53129
4/10/2008,7.53129,7.53129
5/10/2008,7.53129,7.53129
6/10/2008,7.54632,7.54632
7/10/2008,7.57839,7.57839
8/10/2008,7.58238,7.58238
9/10/2008,7.56213,7.56213
10/10/2008,7.53601,7.53601
11/10/2008,7.53601,7.53601
12/10/2008,7.53601,7.53601
13/10/2008,7.53601,7.53601
14/10/2008,7.50439,7.50439
15/10/2008,7.49669,7.49669
16/10/2008,7.49814,7.49814
17/10/2008,7.50764,7.50764
18/10/2008,7.50764,7.50764
19/10/2008,7.50764,7.50764
20/10/2008,7.50764,7.50764
21/10/2008,7.53001,7.53001
22/10/2008,7.51728,7.51728
23/10/2008,7.50148,7.50148
24/10/2008,7.50115,7.50115
25/10/2008,7.50115,7.50115
26/10/2008,7.50115,7.50115
27/10/2008,7.51772,7.51772
28/10/2008,7.53470,7.53470
29/10/2008,7.55245,7.55245
30/10/2008,7.56657,7.56657
31/10/2008,7.56657,7.56657
1/11/2008,7.56657,7.56657
2/11/2008,7.56657,7.56657
3/11/2008,7.55887,7.55887
4/11/2008,7.55774,7.55774
5/11/2008,7.54568,7.54568
6/11/2008,7.53321,7.53321
7/11/2008,7.52375,7.52375
8/11/2008,7.52375,7.52375
9/11/2008,7.52375,7.52375
10/11/2008,7.53789,7.53789
11/11/2008,7.55906,7.55906
12/11/2008,7.56171,7.56171
13/11/2008,7.58706,7.58706
14/11/2008,7.63311,7.63311
15/11/2008,7.63311,7.63311
16/11/2008,7.63311,7.63311
17/11/2008,7.65692,7.65692
18/11/2008,7.64810,7.64810
19/11/2008,7.65528,7.65528
20/11/2008,7.69111,7.69111
